name,count,
例会,7,
概要设计,6,
项目汇报,5,
软件开发文档,4,
部署文档,3,
平台分析,3,
前后端接口,3,
传输设置,2,
旷工,2,
近期工作总结,2,
总结,2,
地图配置,2,
实施方案,2,
迟到,2,
项目过程文档,2,
用户手册,2,
【运营专员（用户运营）_北京】高瑞迪_来,1,
特殊字段说明,1,
【薪酬绩效主管/经理_北京】孙立华_来自,1,
【销售经理/总监_重庆】江西_来自猎聘网,1,
终验文档,1,
【组织发展总监_北京】苏毓_来自猎聘网的,1,
需求与原型,1,
【薪酬专员_北京】王晨_来自猎聘网的候选,1,
【招聘经理/高级经理_北京】谢毅伟_来自,1,
【销售经理_西安】孔令宝_来自猎聘网的候,1,
项目测试数据统计,1,
初验文档,1,
【薪酬绩效主管/经理_北京】乐乐_来自猎,1,
【销售经理/总监_济南】周宁_来自猎聘网,1,
【政府事务经理_北京】王瀚翔_来自猎聘网,1,
【行政主管_北京】朱彦_来自猎聘网的候选,1,
【行政主管_北京】蔡思君_来自猎聘网的候,1,
需求,1,
【国际业务高级经理_北京】赵昆_来自猎聘,1,
api汇总,1,
测试脚本,1,
搜索详细设计,1,
分析平台配置,1,
