name,count,
例会,12,
项目汇报,6,
实施方案,6,
近期工作总结,5,
api汇总,5,
初验文档,4,
地图配置,4,
项目过程文档,4,
系统配置子系统,4,
分析平台配置,4,
部署文档,4,
需求调研,4,
项目测试数据统计,4,
搜索详细设计,4,
概要设计,3,
需求与原型,3,
测试脚本,3,
软件开发文档,3,
特殊字段说明,3,
终验文档,3,
用户手册,2,
前后端接口,2,
【政府事务经理_北京】杨振东_来自猎聘网,2,
【销售经理/总监_成都】李念邱_来自猎聘,2,
需求,2,
总结,2,
【销售经理_南京】庄坤满_来自猎聘网的候,1,
【销售经理_乌鲁木齐】石建军_来自猎聘网,1,
【运营专员（用户运营）_北京】高瑞迪_来,1,
传输设置,1,
【行业销售经理_深圳】龙咸斌_来自猎聘网,1,
【招聘经理/高级经理_北京】崔振宇_来自,1,
【销售经理/总监_成都】余严平_来自猎聘,1,
【组织发展总监_北京】孙芳_来自猎聘网的,1,
【薪酬绩效主管/经理_北京】孙立华_来自,1,
(Zhaopin.com)应聘司机-北京,1,
【销售经理/总监_乌鲁木齐】石建军_来自,1,
【薪酬绩效主管/经理_北京】张春旭_来自,1,
