name,count,
项目汇报,19,
总结,18,
近期工作总结,16,
测试脚本,14,
部署文档,13,
系统配置子系统,12,
概要设计,12,
分析平台配置,11,
终验文档,11,
传输设置,10,
软件开发文档,10,
搜索详细设计,10,
用户手册,10,
需求,10,
需求调研,10,
项目过程文档,9,
初验文档,9,
api汇总,8,
需求与原型,8,
前后端接口,7,
例会,7,
地图配置,7,
项目测试数据统计,6,
实施方案,5,
特殊字段说明,5,
迟到,3,
【政府事务经理_北京】张鸿成_来自猎聘网,2,
【销售经理/总监_重庆】江西_来自猎聘网,1,
(Zhaopin.com)应聘AP主管-,1,
项目相关,1,
【销售经理/总监_长沙】王坤_来自猎聘网,1,
【销售经理_济南】赵浩_来自猎聘网的候选,1,
【销售经理_南京】庄坤满_来自猎聘网的候,1,
【销售经理/总监_西安】于德开_来自猎聘,1,
【组织发展总监_北京】孙芳_来自猎聘网的,1,
【销售经理_哈尔滨】王军_来自猎聘网的候,1,
【资深网络规划师_北京】郭??_来自猎聘,1,
【HRBP_北京】徐莹_来自猎聘网的候选,1,
【行政主管_北京】蔡思君_来自猎聘网的候,1,
【业务拓展经理（政府事务）_北京】何斯佳,1,
【需求分析师_北京】陈昱良_来自猎聘网的,1,
【销售经理-总监_武汉】何国栋_来自猎聘,1,
【运营专员（用户运营）_北京】常松斌_来,1,
