name,count,
例会,12,
实施方案,7,
需求,6,
需求调研,6,
项目汇报,6,
终验文档,6,
测试脚本,5,
用户手册,5,
部署文档,5,
前后端接口,5,
传输设置,4,
项目过程文档,4,
需求与原型,4,
地图配置,3,
项目测试数据统计,3,
api汇总,3,
旷工,3,
近期工作总结,3,
搜索详细设计,3,
系统配置子系统,3,
特殊字段说明,2,
软件开发文档,2,
初验文档,2,
项目相关,2,
【政府事务经理_北京】王大治_来自猎聘网,1,
【招聘经理/高级经理_北京】崔振宇_来自,1,
【AP主管_北京】李鹏_来自猎聘网的候选,1,
分析平台配置,1,
【人力资源经理（HRBP）_成都】刀海金,1,
【销售经理/总监_厦门】陈训銮_来自猎聘,1,
【销售经理/总监_郑州】尚峰_来自猎聘网,1,
概要设计,1,
【行政主管_北京】胡兵_来自猎聘网的候选,1,
【薪酬绩效主管/经理_北京】乐乐_来自猎,1,
【市场运营专员_北京】苗语嫣_来自猎聘网,1,
【营销市场经理_北京】王华_来自猎聘网的,1,
