name,count,
,121,
email.hightech.com,84,
jira.hightech.com,39,
git.hightech.com,36,
OA.hightech.com,35,
lib01.hightech.com,26,
lib02.hightech.com,21,
www.baidu.com,18,
union-click.jd.com,16,
www.javadby.com,14,
swombat.com,11,
bbs.sina.com.cn,11,
nba.tom.com,11,
www.rootkit.com/inde,10,
www.iqiyi.com,8,
sitepoint.com/forums,6,
blog.csdn.net/tianmo,6,
www.amazon.cn,5,
sports.sina.com.cn,4,
www.ganji.com,3,
www.leju.com,2,
www.showself.com,2,
www.tianya.cn,2,
ju.taobao.com,1,
