name,count,
项目汇报,12,
特殊字段说明,8,
软件开发文档,7,
用户手册,7,
近期工作总结,7,
例会,7,
前后端接口,7,
项目过程文档,6,
概要设计,6,
地图配置,5,
总结,5,
终验文档,5,
需求与原型,4,
测试脚本,4,
部署文档,4,
初验文档,4,
传输设置,4,
api汇总,4,
分析平台配置,3,
需求,3,
需求调研,3,
项目测试数据统计,2,
搜索详细设计,2,
【销售经理_沈阳】刘锐_来自猎聘网的候选,2,
项目相关,2,
(Zhaopin.com)应聘AP主管-,1,
【业务拓展经理（政府事务）_北京】何斯佳,1,
【行政主管_北京】李春_来自猎聘网的候选,1,
旷工,1,
【能源行业销售_南京】夏苏北_来自猎聘网,1,
【政府事务经理_北京】王瀚翔_来自猎聘网,1,
【招聘经理/高级经理_北京】崔振宇_来自,1,
系统配置子系统,1,
【税务筹划经理_北京】冯先森_来自猎聘网,1,
【销售经理_济南】张先生_来自猎聘网的候,1,
(Zhaopin.com)应聘国际业务高,1,
【薪酬绩效主管/经理_北京】张春旭_来自,1,
【销售经理_南京】陈翔_来自猎聘网的候选,1,
迟到,1,
平台分析,1,
