name,count,
近期工作总结,16,
特殊字段说明,13,
概要设计,12,
部署文档,12,
例会,12,
地图配置,12,
项目过程文档,11,
项目汇报,10,
初验文档,9,
用户手册,9,
总结,9,
api汇总,8,
需求调研,8,
软件开发文档,8,
需求,7,
传输设置,7,
系统配置子系统,7,
实施方案,7,
测试脚本,6,
需求与原型,5,
搜索详细设计,4,
项目测试数据统计,3,
前后端接口,3,
终验文档,3,
分析平台配置,3,
【行政主管_北京】李春_来自猎聘网的候选,2,
迟到,2,
【销售经理/总监_合肥】彭慧斌_来自猎聘,1,
【销售经理/总监_厦门】陈训銮_来自猎聘,1,
【合同审核主管_北京】房超_来自猎聘网的,1,
旷工,1,
项目相关,1,
【行政主管_北京】孙曼雪_来自猎聘网的候,1,
请假条,1,
【政府事务经理_北京】杨振东_来自猎聘网,1,
【能源行业销售_杭州】王雪_来自猎聘网的,1,
【市场运营专员_北京】苗语嫣_来自猎聘网,1,
【需求分析师_北京】陈昱良_来自猎聘网的,1,
