name,count,
总结,15,
实施方案,14,
传输设置,13,
例会,12,
分析平台配置,12,
近期工作总结,10,
部署文档,10,
项目汇报,10,
项目测试数据统计,9,
初验文档,9,
需求,9,
特殊字段说明,9,
需求调研,8,
api汇总,8,
测试脚本,8,
软件开发文档,8,
系统配置子系统,8,
搜索详细设计,8,
用户手册,7,
终验文档,6,
迟到,5,
前后端接口,5,
项目过程文档,5,
需求与原型,5,
地图配置,4,
概要设计,2,
旷工,2,
【业务拓展经理（政府事务）_北京】崔萌_,1,
【行政主管_北京】李层_来自猎聘网的候选,1,
项目相关,1,
【品牌互动经理_北京】何长辉_来自猎聘网,1,
(Zhaopin.com)应聘AP主管-,1,
【销售经理/总监_武汉】张上时_来自猎聘,1,
【招聘经理/高级经理_北京】崔振宇_来自,1,
【销售经理_西安】孔令宝_来自猎聘网的候,1,
【营销市场经理_北京】王华_来自猎聘网的,1,
【运营专员（用户运营）_北京】常松斌_来,1,
(Zhaopin.com)应聘国际业务高,1,
(Zhaopin.com)应聘AP主管-,1,
【销售经理/总监_重庆】代侦映_来自猎聘,1,
【人力资源经理（HRBP）_上海】彭桦栖,1,
【行业销售经理_广州】王一文_来自猎聘网,1,
【政府事务经理_北京】杨振东_来自猎聘网,1,
【政府事务经理_北京】张志勇_来自猎聘网,1,
【行政主管_北京】李春_来自猎聘网的候选,1,
【销售经理_济南】赵浩_来自猎聘网的候选,1,
【AP主管_北京】陈女士_来自猎聘网的候,1,
【业务拓展经理（政府事务）_北京】王大治,1,
【能源行业销售_南京】夏苏北_来自猎聘网,1,
【行政主管_北京】胡兵_来自猎聘网的候选,1,
【销售经理_西安】孙阳_来自猎聘网的候选,1,
