name,count,
总结,27,
部署文档,21,
项目汇报,21,
传输设置,17,
需求,17,
软件开发文档,16,
近期工作总结,15,
api汇总,14,
特殊字段说明,14,
实施方案,14,
终验文档,13,
测试脚本,13,
系统配置子系统,13,
地图配置,13,
项目过程文档,13,
前后端接口,13,
概要设计,12,
分析平台配置,12,
需求调研,12,
初验文档,11,
用户手册,11,
搜索详细设计,10,
项目测试数据统计,9,
需求与原型,8,
例会,7,
迟到,3,
【行政主管_北京】蔡思君_来自猎聘网的候,2,
(Zhaopin.com)应聘司机-北京,1,
【市场运营专员_北京】韩斐斐_来自猎聘网,1,
【薪酬绩效主管/经理_北京】张春旭_来自,1,
【HRBP_北京】罗丽迎_来自猎聘网的候,1,
【业务拓展经理（政府事务）_北京】何斯佳,1,
【销售经理/总监_郑州】焦伟强_来自猎聘,1,
【行政主管_北京】董洋_来自猎聘网的候选,1,
【招聘经理/高级经理_北京】谢毅伟_来自,1,
【人力资源经理（HRBP）_成都】刀海金,1,
(Zhaopin.com)应聘国际业务高,1,
【政府事务经理_北京】孟兴华_来自猎聘网,1,
项目相关,1,
【销售经理_济南】李永虎_来自猎聘网的候,1,
【销售经理/总监_长沙】王坤_来自猎聘网,1,
旷工,1,
【组织发展总监_北京】苏毓_来自猎聘网的,1,
