name,count,
总结,22,
近期工作总结,14,
系统配置子系统,12,
例会,12,
项目汇报,12,
项目过程文档,11,
终验文档,11,
需求,11,
搜索详细设计,10,
需求调研,10,
前后端接口,8,
地图配置,8,
测试脚本,8,
初验文档,8,
传输设置,8,
用户手册,8,
概要设计,7,
api汇总,7,
部署文档,7,
特殊字段说明,7,
软件开发文档,6,
实施方案,5,
分析平台配置,5,
需求与原型,5,
项目测试数据统计,5,
项目相关,4,
迟到,3,
【销售经理/总监_合肥】彭慧斌_来自猎聘,2,
【销售经理/总监_郑州】尚峰_来自猎聘网,1,
【销售经理/总监_成都】白慧_来自猎聘网,1,
【销售经理/总监_厦门】陈训銮_来自猎聘,1,
【销售经理/总监_西安】景义红_来自猎聘,1,
ms：面试过程中如何做到精准、高效？20,1,
【销售经理/总监_长沙】王坤_来自猎聘网,1,
【销售经理/总监_重庆】江西_来自猎聘网,1,
【业务拓展经理（政府事务）_北京】崔萌_,1,
【销售经理_济南】赵浩_来自猎聘网的候选,1,
【行政主管_北京】李层_来自猎聘网的候选,1,
【HRBP_北京】欧婕惠子_来自猎聘网的,1,
【人力资源经理（HRBP）_上海】彭桦栖,1,
【合同审核主管_北京】房超_来自猎聘网的,1,
【销售经理_西安】孔令宝_来自猎聘网的候,1,
【销售经理/总监_成都】余严平_来自猎聘,1,
【政府事务经理_北京】傅泽_来自猎聘网的,1,
【能源行业销售_南京】夏苏北_来自猎聘网,1,
请假条,1,
旷工,1,
【组织发展总监_北京】苏毓_来自猎聘网的,1,
