name,count,
EmergencyDataBaseFat,15,
实施方案,9,
需求与原型,8,
概要设计,8,
搜索详细设计,8,
地图配置,8,
软件开发文档,7,
系统配置子系统,7,
终验文档,7,
特殊字段说明,7,
分析平台配置,7,
前后端接口,6,
项目测试数据统计,6,
用户手册,6,
项目过程文档,5,
项目计划、问题、风险,5,
部署文档,5,
Reply:您的简历已自动进入人才库。,5,
例会会议纪要,4,
需求,4,
api汇总,4,
[通知]您有一封邀请函待查收,4,
您的简历尚未被查看,4,
传输设置,4,
想要高年薪吗？请与我联系！,4,
技术分享安排,3,
有7位HR查看了您的简历,3,
有10位小伙伴点赞了您的工作经历,3,
有3位HR查看了您的简历,3,
【笔试邀请函】,3,
您的简历尚不完整，请完善。,3,
初验文档,2,
测试脚本,2,
财务报账,2,
项目相关,2,
有8位猎头查看了您的简历,2,
【电话面试邀请函】,2,
【面试邀请函】,2,
请完善您的简历，提高求职成功率,2,
Reply：辞职请求审核：批准。,2,
迟到,1,
欢迎注册，更多高薪职位等你来战！,1,
有2位猎头查看了您的简历,1,
需求调研,1,
Reply：您的简历已被查看，请尽快与我,1,
【通知】设备已归还，请通过。,1,
【通知】各项报销已结算完毕，请通过。,1,
旷工,1,
